"YEAR","POWER_QUYU","POWER_HANGYE","SUM(*)"
2016.0,"罗湖区","退役",3
2016.0,"龙华区","事单",2
2016.0,"龙华区","交通",1
2016.0,"龙华区","人社",32
2016.0,"龙华区","住建",103
2016.0,"龙华区","保密",2
2016.0,"龙华区","公安",104
2016.0,"龙华区","卫生",89
2016.0,"龙华区","司法",7
2016.0,"龙华区","城管",34
2016.0,"龙华区","审计",5
2016.0,"龙华区","应急",55
2016.0,"龙华区","教育",24
2016.0,"龙华区","文体",78
2016.0,"龙华区","档案",5
2016.0,"龙华区","民宗",3
2016.0,"龙华区","民政",21
2016.0,"龙华区","气象",1
2016.0,"龙华区","水务",89
2016.0,"龙华区","生态",54
2016.0,"龙华区","统计",5
2016.0,"龙华区","规自",84
2016.0,"龙华区","财政",11
2016.0,"龙华区","退役",1
2016.0,"龙岗区",,1
2016.0,"龙岗区","交通",1
2016.0,"龙岗区","人社",34
2016.0,"龙岗区","住建",98
2016.0,"龙岗区","公安",106
2016.0,"龙岗区","卫生",82
2016.0,"龙岗区","司法",4
2016.0,"龙岗区","城管",22
2016.0,"龙岗区","审计",5
2016.0,"龙岗区","工信",2
2016.0,"龙岗区","应急",57
2016.0,"龙岗区","教育",14
2016.0,"龙岗区","文体",74
2016.0,"龙岗区","档案",5
2016.0,"龙岗区","民宗",3
2016.0,"龙岗区","民政",17
2016.0,"龙岗区","水务",91
2016.0,"龙岗区","生态",54
2016.0,"龙岗区","统计",4
2016.0,"龙岗区","规自",85
2016.0,"龙岗区","财政",12
2016.0,"龙岗区","退役",1
2017.0,,,20
2017.0,,"交通",108
2017.0,,"人社",12
2017.0,,"住建",49
2017.0,,"公安",101
2017.0,,"卫生",83
2017.0,,"发改",1
2017.0,,"司法",5
2017.0,,"城管",21
2017.0,,"审计",6
2017.0,,"工信",11
2017.0,,"市监",5
2017.0,,"应急",42
2017.0,,"教育",17
2017.0,,"文体",4
2017.0,,"档案",5
2017.0,,"民宗",2
2017.0,,"民政",21
2017.0,,"气象",17
2017.0,,"水务",83
2017.0,,"生态",59
2017.0,,"科创",3
2017.0,,"规自",102
2017.0,,"财政",19
2017.0,,"金融",3
2017.0,"光明区",,3
2017.0,"光明区","事单",2
