"YEAR","HALFYEAR","SUM(*)"
2016.0,,6
2016.0,0.0,1586
2016.0,1.0,844
2017.0,,8
2017.0,0.0,4680
2017.0,1.0,5372
2018.0,,21
2018.0,0.0,3626
2018.0,1.0,3467
2019.0,,144
2019.0,0.0,1091
2019.0,1.0,683
