"YEAR","Sum(FINE_SUM)","Sum(CONFISCATE_MONEY)"
2016.0,4.105384541000002E7,215228.0
2017.0,1.823931068800001E8,32000.0
2018.0,6.211808642900003E8,431222.8
2019.0,9.926513217000002E7,315548.31
