"YEAR","HALFYEAR","SUM(*)"
2016.0,0.0,362
2016.0,1.0,2131
2017.0,0.0,5196
2017.0,1.0,4901
2018.0,0.0,4001
2018.0,1.0,3158
2019.0,0.0,1776
2019.0,1.0,209
