"YEAR","USED","POWER_TYPE","ALL","RATIO","SLEEP"
2016.0,14,"行政处罚",13292.0,0.0010532651218778213,13278.0
2017.0,262,"行政处罚",15150.0,0.017293729372937293,14888.0
2018.0,943,"行政处罚",16790.0,0.056164383561643834,15847.0
2019.0,263,"行政处罚",22100.0,0.011900452488687784,21837.0
