"YEAR","PUNISH_QUYU","SUM(*)"
2016.0,"市级",1.0
2017.0,"南山区",2.0
2017.0,"宝安区",1.0
2017.0,"福田区",11.0
2017.0,"罗湖区",2.0
2017.0,"龙华区",5.0
2017.0,"龙岗区",1.0
2018.0,"南山区",6.0
2018.0,"大鹏新区",5.0
2018.0,"市级",3.0
2018.0,"盐田区",2.0
2018.0,"福田区",5.0
2018.0,"罗湖区",3.0
2018.0,"龙华区",2.0
2018.0,"龙岗区",4.0
2019.0,"南山区",3.0
2019.0,"坪山区",1.0
2019.0,"宝安区",1.0
2019.0,"市级",1.0
2019.0,"盐田区",4.0
2019.0,"福田区",3.0
2019.0,"罗湖区",4.0
2019.0,"龙华区",3.0
2019.0,"龙岗区",4.0
