"YEAR","USED","POWER_TYPE","ALL","RATIO","SLEEP"
2016.0,14,"行政处罚",12506.0,0.0011194626579241963,12492.0
2017.0,262,"行政处罚",14207.0,0.018441613289223623,13945.0
2018.0,943,"行政处罚",15788.0,0.05972890803141626,14845.0
2019.0,263,"行政处罚",20769.0,0.012663103664114786,20506.0
