"YEAR","PUNISH_HANGYE","PUNISH_QUYU","USED","POWER_TYPE","ALL","RATIO_BALANCE"
2019.0,"人社","福田区",1.0,"行政处罚",123.0,0.008130081300813009
2019.0,"人社","罗湖区",5.0,"行政处罚",129.0,0.03875968992248062
2019.0,"人社","龙华区",0.0,"行政处罚",120.0,0.0
2019.0,"人社","龙岗区",0.0,"行政处罚",123.0,0.0
2019.0,"住建","光明区",2.0,"行政处罚",506.0,0.003952569169960474
2019.0,"住建","南山区",5.0,"行政处罚",345.0,0.014492753623188406
2019.0,"住建","坪山区",7.0,"行政处罚",386.0,0.018134715025906734
2019.0,"住建","大鹏新区",0.0,"行政处罚",426.0,0.0
2019.0,"住建","宝安区",2.0,"行政处罚",255.0,0.00784313725490196
2019.0,"住建","盐田区",0.0,"行政处罚",212.0,0.0
2019.0,"住建","福田区",1.0,"行政处罚",125.0,0.008
2019.0,"住建","罗湖区",1.0,"行政处罚",428.0,0.002336448598130841
2019.0,"住建","龙华区",3.0,"行政处罚",413.0,0.007263922518159807
2019.0,"卫生","光明区",1.0,"行政处罚",325.0,0.003076923076923077
2019.0,"卫生","南山区",1.0,"行政处罚",312.0,0.003205128205128205
2019.0,"卫生","坪山区",1.0,"行政处罚",348.0,0.0028735632183908046
2019.0,"卫生","大鹏新区",1.0,"行政处罚",233.0,0.004291845493562232
2019.0,"卫生","宝安区",1.0,"行政处罚",575.0,0.0017391304347826088
2019.0,"卫生","盐田区",1.0,"行政处罚",627.0,0.001594896331738437
2019.0,"卫生","福田区",1.0,"行政处罚",319.0,0.003134796238244514
2019.0,"卫生","罗湖区",1.0,"行政处罚",652.0,0.0015337423312883436
2019.0,"卫生","龙华区",1.0,"行政处罚",605.0,0.001652892561983471
2019.0,"卫生","龙岗区",1.0,"行政处罚",320.0,0.003125
2019.0,"城管","南山区",1.0,"行政处罚",573.0,0.0017452006980802793
2019.0,"城管","坪山区",1.0,"行政处罚",439.0,0.002277904328018223
2019.0,"城管","宝安区",1.0,"行政处罚",441.0,0.0022675736961451248
2019.0,"城管","盐田区",1.0,"行政处罚",453.0,0.002207505518763797
2019.0,"城管","福田区",1.0,"行政处罚",599.0,0.001669449081803005
2019.0,"城管","罗湖区",1.0,"行政处罚",231.0,0.004329004329004329
2019.0,"城管","龙华区",1.0,"行政处罚",465.0,0.002150537634408602
2019.0,"城管","龙岗区",1.0,"行政处罚",231.0,0.004329004329004329
2019.0,"市监","南山区",1.0,"行政处罚",1.0,1.0
2019.0,"应急","光明区",1.0,"行政处罚",435.0,0.0022988505747126436
2019.0,"应急","南山区",1.0,"行政处罚",345.0,0.002898550724637681
2019.0,"应急","坪山区",1.0,"行政处罚",206.0,0.0048543689320388345
2019.0,"应急","大鹏新区",1.0,"行政处罚",247.0,0.004048582995951417
2019.0,"应急","宝安区",1.0,"行政处罚",403.0,0.0024813895781637717
2019.0,"应急","盐田区",1.0,"行政处罚",337.0,0.002967359050445104
2019.0,"应急","福田区",1.0,"行政处罚",178.0,0.0056179775280898875
2019.0,"应急","罗湖区",1.0,"行政处罚",456.0,0.0021929824561403508
2019.0,"应急","龙华区",1.0,"行政处罚",433.0,0.0023094688221709007
2019.0,"应急","龙岗区",1.0,"行政处罚",350.0,0.002857142857142857
2019.0,"文体","光明区",0.0,"行政处罚",860.0,0.0
2019.0,"文体","南山区",1.0,"行政处罚",846.0,0.001182033096926714
2019.0,"文体","坪山区",0.0,"行政处罚",856.0,0.0
2019.0,"文体","大鹏新区",0.0,"行政处罚",853.0,0.0
2019.0,"文体","宝安区",7.0,"行政处罚",725.0,0.009655172413793104
2019.0,"文体","福田区",5.0,"行政处罚",649.0,0.007704160246533128
2019.0,"文体","罗湖区",3.0,"行政处罚",860.0,0.0034883720930232558
2019.0,"文体","龙华区",0.0,"行政处罚",864.0,0.0
2019.0,"文体","龙岗区",0.0,"行政处罚",849.0,0.0
2019.0,"水务","光明区",1.0,"行政处罚",706.0,0.00141643059490085
2019.0,"水务","南山区",1.0,"行政处罚",836.0,0.0011961722488038277
