"MEAN(FILL_DAYS)","MEAN(SURVEY_DAYS)","MEAN(DECISION_DAYS)","MEAN(PUNISH_DAYS)","MEAN(END_DAYS)","YEAR","PUNISH_HANGYE"
16578.550000000003,,8.149999999999997,4.824999999999998,21.775,2016.0,
0.4,,14.171428571428574,4.228571428571427,34.142857142857146,2017.0,
0.27499999999999997,39.0,14.024999999999997,11.950000000000003,14.125000000000002,2018.0,
0.6666666666666665,21.33333333333333,16866.538461538465,7.820512820512821,15.512820512820515,2019.0,
0.0,,43.0,,,2016.0,"交通"
3.421568627450979,,29.754901960784313,,,2018.0,"交通"
2.5121951219512186,,16.414634146341474,,,2019.0,"交通"
2.4400000000000004,20.0,12.960000000000004,72.64705882352942,-70.05882352941177,2017.0,"人社"
-1.9505703422053242,15.26666666666667,23.73764258555135,60.0440251572327,-38.47798742138366,2018.0,"人社"
5676.051724137936,15.088235294117647,19.086206896551737,46.46341463414633,-35.707317073170735,2019.0,"人社"
-0.13732394366197131,48.42592592592592,139.53710247349818,23.750000000000018,-1.2607142857142857,2017.0,"住建"
12.731578947368412,-2854.0567685589517,1262.451730418942,25.612844036697265,20.680733944954135,2018.0,"住建"
29.280334728033473,34.01550387596902,37.8854625550661,16.945701357466053,6.7567567567567615,2019.0,"住建"
5.639296187683285,,,31.679693486590004,5.813953488372094,2016.0,"卫生"
5.96217494089834,,,31.895356037151547,7.265725288831826,2017.0,"卫生"
9.031970649895168,,,25.026189436927023,7.375757575757557,2018.0,"卫生"
6.872093023255805,,,7.139175257731964,5.484069886947589,2019.0,"卫生"
0.0,,21.0,3.0,8.0,2017.0,"司法"
0.0,,24.42857142857142,15.285714285714286,46.57142857142858,2018.0,"司法"
15.0,34.5,17.5,0.0,0.0,2019.0,"司法"
-592.5,,-323.5,0.0,208.5,2017.0,"城管"
-92.05513784461147,,-245.5213032581453,0.0,57.4135338345865,2018.0,"城管"
-14.36988235294122,,-106.70721568627478,0.0,10.688705882352876,2019.0,"城管"
2.3333333333333335,1.333333333333333,3.2499999999999996,2.75,0.0,2018.0,"工信"
3.8507723695715517,,,,,2016.0,"市监"
2.1390210381647154,,,,,2017.0,"市监"
1.4691182889567804,,,,,2018.0,"市监"
1.298194945848365,,,,,2019.0,"市监"
-726.0,746.0,1.0,,,2016.0,"应急"
3.521508231545396,111.41529474243214,-7.218799787573005,,,2017.0,"应急"
4.363586358635815,52.42112501719126,-14.822744774477416,,,2018.0,"应急"
2.9999999999999987,30.074626865671664,2.479284057010261,,,2019.0,"应急"
30.0,5.0,14.0,0.0,2.0,2017.0,"教育"
5.25,25.0,14.0,82184.0,-82178.5,2018.0,"教育"
6.333333333333333,,57.666666666666664,142.33333333333331,-120.0,2017.0,"文体"
2.2623906705539376,27.69354838709677,15.505847953216366,-1949.715133531156,1962.8427299703264,2018.0,"文体"
13.212499999999997,32.46666666666667,8.898734177215184,6.012658227848102,3.088607594936709,2019.0,"文体"
7.133333333333333,,147.96551724137936,200.13793103448273,2.7241379310344827,2017.0,"民政"
26.043478260869563,18.25,72.23913043478261,146.97826086956513,0.02173913043478261,2018.0,"民政"
3.833333333333333,5.766666666666665,95.02380952380949,90.30952380952384,15.666666666666671,2017.0,"水务"
3.491071428571428,-3.869047619047619,80.52743902439026,31.570312500000007,31.34496124031009,2018.0,"水务"
11.613636363636365,15.42105263157895,67.26436781609195,3.2972972972972974,26.310810810810818,2019.0,"水务"
0.0,,,,,2016.0,"生态"
0.26482213438735175,,68.96,62.45833333333332,102.87499999999999,2017.0,"生态"
3.6041666666666665,,33.771428571428565,109.22222222222226,85.70270270270274,2018.0,"生态"
37.199999999999996,0.0,93.0,111.75,17.499999999999996,2019.0,"生态"
21.0,19.0,4.0,6.0,32.0,2018.0,"统计"
14.923076923076922,42.0,12.166666666666666,-29.16666666666667,38.38461538461539,2016.0,"规自"
5.499999999999999,0.0,23.041666666666668,30.434782608695652,17.173913043478258,2017.0,"规自"
5.627450980392167,19.461538461538456,16.172588832487307,57.19753086419757,18.23493975903614,2018.0,"规自"
7.283185840707964,20.018867924528298,13.761061946902664,21.597560975609756,7.841463414634144,2019.0,"规自"
39.32500000000001,86.86666666666669,106.09999999999997,18.10000000000001,0.5500000000000013,2017.0,"财政"
10.064516129032246,59.36363636363636,100.43548387096769,37.74999999999999,6.516666666666664,2018.0,"财政"
97.99999999999999,-2.0,42.74999999999999,10.75,1.7499999999999998,2019.0,"财政"
