"YEAR","QUARTER","SUM(*)"
2016.0,1.0,44
2016.0,2.0,6
2016.0,3.0,20
2016.0,4.0,82
2017.0,1.0,70
2017.0,2.0,108
2017.0,3.0,68
2017.0,4.0,58
2018.0,,3
2018.0,1.0,44
2018.0,2.0,65
2018.0,3.0,88
2018.0,4.0,57
2019.0,,1
2019.0,1.0,18
2019.0,2.0,41
2019.0,3.0,25
2019.0,4.0,1
