"YEAR","PUNISH_HANGYE","SUM(*)"
2017.0,"人社",5.0
2017.0,"住建",1.0
2017.0,"司法",1.0
2017.0,"民政",2.0
2017.0,"水务",3.0
2017.0,"生态",6.0
2017.0,"规自",1.0
2017.0,"财政",3.0
2018.0,"人社",5.0
2018.0,"住建",1.0
2018.0,"司法",1.0
2018.0,"工信",2.0
2018.0,"文体",1.0
2018.0,"水务",1.0
2018.0,"生态",3.0
2018.0,"规自",7.0
2018.0,"财政",5.0
2019.0,"人社",7.0
2019.0,"住建",2.0
2019.0,"司法",1.0
2019.0,"生态",2.0
2019.0,"规自",3.0
2019.0,"财政",2.0
