"YEAR","HALFYEAR","SUM(*)"
2016.0,0.0,8500974.969999999
2016.0,1.0,3.2554592920000017E7
2017.0,0.0,6.456122502E7
2017.0,1.0,1.1783388286000001E8
2018.0,0.0,5.1720812955E8
2018.0,1.0,1.0397408961000001E8
2019.0,0.0,9.425789975000001E7
2019.0,1.0,5007260.42
