"YEAR","PUNISH_QUYU","Sum(SUM(*))","SUM(*)","CASE_PER_PEO"
2019.0,"光明区",934,1298.0,0.7195685670261941
2019.0,"南山区",1621,3105.0,0.5220611916264091
2019.0,"坪山区",1274,1216.0,1.0476973684210527
2019.0,"大鹏新区",162,999.0,0.16216216216216217
2019.0,"宝安区",8999,4249.0,2.1179100964932926
2019.0,"盐田区",170,1002.0,0.16966067864271456
2019.0,"福田区",3757,3308.0,1.1357315598548972
2019.0,"罗湖区",1752,3345.0,0.5237668161434977
2019.0,"龙华区",2299,2022.0,1.1369930761622156
2019.0,"龙岗区",5075,4497.0,1.128530131198577
