"YEAR","QUARTER","SUM(*)"
2016.0,1.0,1483364.0
2016.0,2.0,7017610.97
2016.0,3.0,1.0086226229999999E7
2016.0,4.0,2.246836669E7
2017.0,1.0,2.5765297070000004E7
2017.0,2.0,3.879592794999999E7
2017.0,3.0,4.3457995239999995E7
2017.0,4.0,7.437588761999999E7
2018.0,1.0,1.0400659278000005E8
2018.0,2.0,4.1320153677000004E8
2018.0,3.0,6.184136448E7
2018.0,4.0,4.213272513000002E7
2019.0,1.0,5.749532119E7
2019.0,2.0,3.676257856000001E7
2019.0,3.0,5007260.42
2019.0,4.0,
