"YEAR","PUNISH_HANGYE","PUNISH_QUYU","PUNISH_TYPE","SUM(*)"
2018.0,"市监","盐田区",1.0,176
2018.0,"市监","福田区",1.0,1543
2018.0,"市监","罗湖区",1.0,1661
2018.0,"市监","龙华区",1.0,943
2018.0,"市监","龙岗区",1.0,2479
2018.0,"应急","光明区",1.0,1020
2018.0,"应急","南山区",1.0,318
2018.0,"应急","坪山区",1.0,572
2018.0,"应急","大鹏新区",1.0,66
2018.0,"应急","宝安区",1.0,1314
2018.0,"应急","盐田区",1.0,56
2018.0,"应急","福田区",1.0,624
2018.0,"应急","罗湖区",1.0,445
2018.0,"应急","龙华区",1.0,1186
2018.0,"应急","龙岗区",1.0,1671
2018.0,"教育","龙华区",1.0,1
2018.0,"文体","光明区",1.0,12
2018.0,"文体","南山区",1.0,48
2018.0,"文体","坪山区",1.0,8
2018.0,"文体","宝安区",1.0,29
2018.0,"文体","宝安区",2.0,174
2018.0,"文体","福田区",1.0,64
2018.0,"文体","罗湖区",1.0,45
2018.0,"文体","罗湖区",2.0,36
2018.0,"文体","龙华区",1.0,26
2018.0,"文体","龙岗区",1.0,105
2018.0,"文体","龙岗区",2.0,42
2018.0,"民政","南山区",1.0,3
2018.0,"民政","坪山区",1.0,1
2018.0,"民政","宝安区",1.0,41
2018.0,"水务","光明区",1.0,29
2018.0,"水务","南山区",1.0,41
2018.0,"水务","坪山区",1.0,28
2018.0,"水务","大鹏新区",1.0,28
2018.0,"水务","宝安区",1.0,21
2018.0,"水务","盐田区",1.0,19
2018.0,"水务","福田区",1.0,82
2018.0,"水务","罗湖区",1.0,19
2018.0,"水务","龙华区",1.0,36
2018.0,"水务","龙岗区",1.0,27
2018.0,"生态","大鹏新区",1.0,5
2018.0,"生态","福田区",1.0,34
2018.0,"生态","龙岗区",1.0,1
2018.0,"统计","光明区",2.0,1
2018.0,"统计","南山区",2.0,41
2018.0,"统计","坪山区",2.0,5
2018.0,"统计","大鹏新区",2.0,2
2018.0,"统计","福田区",1.0,1
2018.0,"统计","龙华区",2.0,1
2018.0,"规自","光明区",1.0,1
2018.0,"规自","南山区",1.0,41
2018.0,"规自","坪山区",1.0,53
2018.0,"规自","大鹏新区",1.0,1
2018.0,"规自","宝安区",1.0,8
2018.0,"规自","盐田区",1.0,7
2018.0,"规自","福田区",1.0,23
2018.0,"规自","罗湖区",1.0,5
2018.0,"规自","龙华区",1.0,9
2018.0,"规自","龙岗区",1.0,40
2018.0,"财政","坪山区",1.0,1
2018.0,"财政","宝安区",1.0,7
2018.0,"财政","福田区",1.0,4
2018.0,"财政","罗湖区",1.0,8
2018.0,"财政","龙华区",1.0,2
2018.0,"财政","龙岗区",1.0,9
2019.0,"人社","光明区",1.0,5
2019.0,"人社","南山区",1.0,36
2019.0,"人社","坪山区",1.0,2
2019.0,"人社","宝安区",1.0,11
2019.0,"人社","盐田区",1.0,5
2019.0,"人社","福田区",1.0,16
2019.0,"人社","罗湖区",1.0,35
2019.0,"人社","龙华区",1.0,1
2019.0,"人社","龙岗区",1.0,1
2019.0,"住建","光明区",1.0,14
2019.0,"住建","南山区",1.0,19
2019.0,"住建","坪山区",1.0,54
2019.0,"住建","大鹏新区",1.0,2
2019.0,"住建","宝安区",1.0,11
2019.0,"住建","盐田区",1.0,4
2019.0,"住建","福田区",1.0,3
2019.0,"住建","罗湖区",1.0,21
2019.0,"住建","龙华区",1.0,29
2019.0,"卫生","光明区",1.0,145
2019.0,"卫生","光明区",2.0,82
2019.0,"卫生","南山区",1.0,90
2019.0,"卫生","南山区",2.0,81
2019.0,"卫生","坪山区",1.0,107
2019.0,"卫生","坪山区",2.0,55
2019.0,"卫生","大鹏新区",1.0,27
2019.0,"卫生","大鹏新区",2.0,41
2019.0,"卫生","宝安区",1.0,541
2019.0,"卫生","宝安区",2.0,185
2019.0,"卫生","盐田区",1.0,23
2019.0,"卫生","盐田区",2.0,33
2019.0,"卫生","福田区",1.0,159
2019.0,"卫生","福田区",2.0,74
2019.0,"卫生","罗湖区",1.0,103
2019.0,"卫生","罗湖区",2.0,35
2019.0,"卫生","龙华区",1.0,155
2019.0,"卫生","龙华区",2.0,107
2019.0,"卫生","龙岗区",1.0,316
2019.0,"卫生","龙岗区",2.0,112
2019.0,"城管","南山区",1.0,191
2019.0,"城管","坪山区",1.0,684
2019.0,"城管","宝安区",1.0,6300
2019.0,"城管","盐田区",1.0,5
2019.0,"城管","福田区",1.0,1841
2019.0,"城管","罗湖区",1.0,518
2019.0,"城管","龙华区",1.0,736
2019.0,"城管","龙岗区",1.0,1714
2019.0,"市监","光明区",1.0,172
2019.0,"市监","南山区",1.0,607
2019.0,"市监","坪山区",1.0,114
2019.0,"市监","大鹏新区",1.0,68
2019.0,"市监","宝安区",1.0,1677
2019.0,"市监","盐田区",1.0,69
2019.0,"市监","福田区",1.0,462
2019.0,"市监","罗湖区",1.0,540
2019.0,"市监","龙华区",1.0,437
2019.0,"市监","龙岗区",1.0,627
2019.0,"应急","光明区",1.0,379
2019.0,"应急","南山区",1.0,140
2019.0,"应急","坪山区",1.0,216
2019.0,"应急","大鹏新区",1.0,16
2019.0,"应急","宝安区",1.0,182
2019.0,"应急","盐田区",1.0,21
2019.0,"应急","福田区",1.0,165
2019.0,"应急","罗湖区",1.0,342
2019.0,"应急","龙华区",1.0,753
2019.0,"应急","龙岗区",1.0,803
2019.0,"文体","光明区",1.0,6
2019.0,"文体","南山区",1.0,11
2019.0,"文体","坪山区",1.0,2
2019.0,"文体","大鹏新区",1.0,4
2019.0,"文体","宝安区",1.0,4
2019.0,"文体","宝安区",2.0,56
2019.0,"文体","福田区",1.0,32
2019.0,"文体","罗湖区",1.0,19
2019.0,"文体","罗湖区",2.0,16
2019.0,"文体","龙华区",1.0,1
2019.0,"文体","龙岗区",1.0,1
2019.0,"水务","光明区",1.0,10
2019.0,"水务","南山区",1.0,9
2019.0,"水务","坪山区",1.0,6
2019.0,"水务","大鹏新区",1.0,2
2019.0,"水务","宝安区",1.0,17
2019.0,"水务","盐田区",1.0,8
2019.0,"水务","福田区",1.0,7
2019.0,"水务","罗湖区",1.0,14
2019.0,"水务","龙岗区",1.0,14
2019.0,"生态","福田区",1.0,1
2019.0,"生态","龙岗区",1.0,3
2019.0,"统计","光明区",2.0,120
2019.0,"统计","南山区",2.0,83
2019.0,"统计","坪山区",2.0,15
2019.0,"统计","大鹏新区",2.0,1
2019.0,"统计","龙华区",2.0,42
2019.0,"规自","光明区",1.0,1
2019.0,"规自","南山区",1.0,11
2019.0,"规自","坪山区",1.0,16
2019.0,"规自","宝安区",1.0,15
2019.0,"规自","盐田区",1.0,2
2019.0,"规自","福田区",1.0,32
2019.0,"规自","罗湖区",1.0,1
2019.0,"规自","龙华区",1.0,7
2019.0,"规自","龙岗区",1.0,22
2019.0,"财政","龙华区",1.0,2
2019.0,"财政","龙岗区",1.0,1
