"PUNISH_HANGYE","YEAR","SUM(*)"
"住建",2018.0,1
"市监",2016.0,152
"市监",2017.0,304
"市监",2018.0,244
"市监",2019.0,78
"应急",2018.0,7
"应急",2019.0,7
"文体",2018.0,1
"文体",2019.0,1
"水务",2018.0,2
"规自",2018.0,2
