"YEAR","PUNISH_HANGYE","PUNISH_QUYU","SUM(*)"
2018.0,"文体","南山区",608000.0
2018.0,"文体","坪山区",55000.0
2018.0,"文体","宝安区",262000.0
2018.0,"文体","福田区",217900.0
2018.0,"文体","罗湖区",86100.0
2018.0,"文体","龙华区",11000.0
2018.0,"文体","龙岗区",381000.0
2018.0,"民政",,
2018.0,"民政","南山区",
2018.0,"民政","坪山区",
2018.0,"民政","宝安区",
2018.0,"水务",,
2018.0,"水务","光明区",975000.0
2018.0,"水务","南山区",1206640.0
2018.0,"水务","坪山区",575000.0
2018.0,"水务","大鹏新区",685000.0
2018.0,"水务","宝安区",180000.0
2018.0,"水务","盐田区",345000.0
2018.0,"水务","福田区",736810.0
2018.0,"水务","罗湖区",1168000.0
2018.0,"水务","龙华区",2040000.0
2018.0,"水务","龙岗区",3775210.0
2018.0,"生态",,1354.87
2018.0,"生态","大鹏新区",384000.0
2018.0,"生态","福田区",1160005.0
2018.0,"生态","龙岗区",
2018.0,"统计","光明区",
2018.0,"统计","南山区",
2018.0,"统计","坪山区",
2018.0,"统计","大鹏新区",
2018.0,"统计","福田区",
2018.0,"统计","龙华区",
2018.0,"规自",,2100000.0
2018.0,"规自","光明区",135381.98
2018.0,"规自","南山区",2.9060010561E8
2018.0,"规自","坪山区",4245607.280000001
2018.0,"规自","大鹏新区",38940.52
2018.0,"规自","宝安区",
2018.0,"规自","盐田区",
2018.0,"规自","福田区",
2018.0,"规自","罗湖区",65670.0
2018.0,"规自","龙华区",970126.65
2018.0,"规自","龙岗区",7123980.509999999
2018.0,"财政",,933840.5399999999
2018.0,"财政","坪山区",59376.0
2018.0,"财政","宝安区",601134.9
2018.0,"财政","福田区",
2018.0,"财政","罗湖区",498997.41
2018.0,"财政","龙华区",443010.36
2018.0,"财政","龙岗区",393096.12
2019.0,,,230650.0
2019.0,,"南山区",17150.0
2019.0,,"坪山区",150.0
2019.0,,"大鹏新区",50.0
2019.0,,"福田区",47800.0
2019.0,,"罗湖区",5350.0
2019.0,,"龙华区",1450.0
2019.0,,"龙岗区",75459.0
2019.0,"交通",,1948697.0
2019.0,"人社",,18000.0
2019.0,"人社","光明区",191600.0
2019.0,"人社","南山区",1117200.0
2019.0,"人社","坪山区",17000.0
2019.0,"人社","宝安区",161800.0
2019.0,"人社","盐田区",44500.0
2019.0,"人社","福田区",210000.0
2019.0,"人社","罗湖区",497600.0
2019.0,"人社","龙华区",
2019.0,"人社","龙岗区",900.0
2019.0,"住建",,2416400.0
2019.0,"住建","光明区",132805.6
2019.0,"住建","南山区",1565721.64
2019.0,"住建","坪山区",1581327.65
2019.0,"住建","大鹏新区",5000.0
2019.0,"住建","宝安区",73500.0
2019.0,"住建","盐田区",22000.0
2019.0,"住建","福田区",47925.0
2019.0,"住建","罗湖区",291500.0
2019.0,"住建","龙华区",467174.0
2019.0,"卫生",,1091099.0
2019.0,"卫生","光明区",1769110.0
2019.0,"卫生","南山区",1138600.0
2019.0,"卫生","坪山区",655900.0
2019.0,"卫生","大鹏新区",195100.0
2019.0,"卫生","宝安区",3976133.8
2019.0,"卫生","盐田区",62900.0
2019.0,"卫生","福田区",2011700.0
2019.0,"卫生","罗湖区",755100.0
2019.0,"卫生","龙华区",2100572.5
2019.0,"卫生","龙岗区",2162840.0
2019.0,"司法",,1000.0
2019.0,"城管",,800452.2
2019.0,"城管","南山区",201600.0
2019.0,"城管","坪山区",1331843.6500000001
2019.0,"城管","宝安区",3151637.05
2019.0,"城管","盐田区",1000.0
2019.0,"城管","福田区",1152614.2
2019.0,"城管","罗湖区",180456.7
2019.0,"城管","龙华区",1660040.0
2019.0,"城管","龙岗区",1745905.4
2019.0,"市监",,5767603.46
2019.0,"市监","光明区",1434137.5
2019.0,"市监","南山区",3691614.610000001
2019.0,"市监","坪山区",416162.15
2019.0,"市监","大鹏新区",354575.4
2019.0,"市监","宝安区",6730269.47
2019.0,"市监","盐田区",453846.0
2019.0,"市监","福田区",3251559.1700000004
2019.0,"市监","罗湖区",2824964.04
2019.0,"市监","龙华区",2389002.1900000004
2019.0,"市监","龙岗区",4193480.0300000003
2019.0,"应急","光明区",
2019.0,"应急","南山区",
