"YEAR","PUNISH_HANGYE","PUNISH_QUYU","SUM(*)"
2018.0,"规自","南山区",26
2018.0,"规自","坪山区",14
2018.0,"规自","大鹏新区",2
2018.0,"规自","宝安区",7
2018.0,"规自","盐田区",4
2018.0,"规自","福田区",12
2018.0,"规自","罗湖区",6
2018.0,"规自","龙华区",16
2018.0,"规自","龙岗区",37
2018.0,"财政","坪山区",2
2018.0,"财政","宝安区",2
2018.0,"财政","福田区",2
2018.0,"财政","罗湖区",4
2018.0,"财政","龙华区",2
2018.0,"财政","龙岗区",3
2019.0,"人社","光明区",3
2019.0,"人社","南山区",5
2019.0,"人社","坪山区",4
2019.0,"人社","宝安区",8
2019.0,"人社","盐田区",4
2019.0,"人社","福田区",9
2019.0,"人社","罗湖区",9
2019.0,"人社","龙华区",2
2019.0,"人社","龙岗区",2
2019.0,"住建","光明区",10
2019.0,"住建","南山区",8
2019.0,"住建","坪山区",11
2019.0,"住建","大鹏新区",3
2019.0,"住建","宝安区",16
2019.0,"住建","盐田区",2
2019.0,"住建","福田区",2
2019.0,"住建","罗湖区",12
2019.0,"住建","龙华区",20
2019.0,"卫生","光明区",10
2019.0,"卫生","南山区",3
2019.0,"卫生","坪山区",10
2019.0,"卫生","大鹏新区",7
2019.0,"卫生","宝安区",42
2019.0,"卫生","盐田区",3
2019.0,"卫生","福田区",10
2019.0,"卫生","罗湖区",8
2019.0,"卫生","龙华区",20
2019.0,"卫生","龙岗区",37
2019.0,"城管","南山区",1
2019.0,"城管","坪山区",14
2019.0,"城管","宝安区",8
2019.0,"城管","盐田区",1
2019.0,"城管","福田区",19
2019.0,"城管","罗湖区",9
2019.0,"城管","龙华区",9
2019.0,"城管","龙岗区",13
2019.0,"市监","光明区",1
2019.0,"市监","南山区",1
2019.0,"市监","坪山区",1
2019.0,"市监","大鹏新区",1
2019.0,"市监","宝安区",1
2019.0,"市监","盐田区",1
2019.0,"市监","福田区",1
2019.0,"市监","罗湖区",1
2019.0,"市监","龙华区",1
2019.0,"市监","龙岗区",1
2019.0,"应急","光明区",35
2019.0,"应急","南山区",89
2019.0,"应急","坪山区",24
2019.0,"应急","大鹏新区",19
2019.0,"应急","宝安区",84
2019.0,"应急","盐田区",15
2019.0,"应急","福田区",17
2019.0,"应急","罗湖区",73
2019.0,"应急","龙华区",137
2019.0,"应急","龙岗区",118
2019.0,"文体","光明区",6
2019.0,"文体","南山区",7
2019.0,"文体","坪山区",2
2019.0,"文体","大鹏新区",3
2019.0,"文体","宝安区",8
2019.0,"文体","福田区",9
2019.0,"文体","罗湖区",13
2019.0,"文体","龙华区",2
2019.0,"文体","龙岗区",2
2019.0,"水务","光明区",4
2019.0,"水务","南山区",4
2019.0,"水务","坪山区",3
2019.0,"水务","大鹏新区",2
2019.0,"水务","宝安区",22
2019.0,"水务","盐田区",2
2019.0,"水务","福田区",2
2019.0,"水务","罗湖区",10
2019.0,"水务","龙岗区",4
2019.0,"生态","福田区",2
2019.0,"生态","龙岗区",4
2019.0,"统计","光明区",26
2019.0,"统计","南山区",45
2019.0,"统计","坪山区",7
2019.0,"统计","大鹏新区",1
2019.0,"统计","龙华区",33
2019.0,"规自","光明区",2
2019.0,"规自","南山区",13
2019.0,"规自","坪山区",7
2019.0,"规自","宝安区",9
2019.0,"规自","盐田区",2
2019.0,"规自","福田区",21
2019.0,"规自","罗湖区",2
2019.0,"规自","龙华区",11
2019.0,"规自","龙岗区",22
2019.0,"财政","龙华区",2
2019.0,"财政","龙岗区",2
