"YEAR","PUNISH_TYPE","SUM(*)"
2016.0,1.0,4.094531789000002E7
2016.0,2.0,110250.0
2017.0,1.0,1.8229750788E8
2017.0,2.0,97600.0
2018.0,1.0,6.210641191600002E8
2018.0,2.0,118100.0
2019.0,1.0,9.901480117E7
2019.0,2.0,250359.0
