"YEAR","ALL(SHIJI)","ALL(SHENGJI)","ALL(BUJI)"
2016.0,73.0,0.0,0.0
2017.0,7624.0,0.0,0.0
2018.0,10440.0,0.0,1.0
2019.0,11537.0,0.0,2.0
