"YEAR","PEO_ENFORCE_HANGYE","ALL(SHIJI)","ALL(SHENGJI)","ALL(BUJI)","CODE_ALL","SUM(SHIJI)","SUM(SHENGJI)","SUM(BUJI)","SUM(SHI_SHENG)","SUM(SHI_BU)","SUM(SHENG_BU)"
2018.0,"气象",6.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
2019.0,"气象",6.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
2016.0,"人社",4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
2017.0,"人社",330.0,0.0,0.0,1.0,330.0,0.0,0.0,0.0,0.0,0.0
2018.0,"人社",448.0,0.0,0.0,1.0,448.0,0.0,0.0,0.0,0.0,0.0
2019.0,"人社",508.0,0.0,0.0,1.0,508.0,0.0,0.0,0.0,0.0,0.0
2016.0,"审计",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"审计",247.0,0.0,0.0,1.0,247.0,0.0,0.0,0.0,0.0,0.0
2018.0,"审计",275.0,0.0,0.0,1.0,275.0,0.0,0.0,0.0,0.0,0.0
2019.0,"审计",300.0,0.0,0.0,1.0,300.0,0.0,0.0,0.0,0.0,0.0
2016.0,"生态",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"生态",354.0,0.0,0.0,1.0,354.0,0.0,0.0,0.0,0.0,0.0
2018.0,"生态",431.0,0.0,0.0,1.0,431.0,0.0,0.0,0.0,0.0,0.0
2019.0,"生态",436.0,0.0,0.0,1.0,436.0,0.0,0.0,0.0,0.0,0.0
2016.0,"事单",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"事单",3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
2018.0,"事单",13.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0
2019.0,"事单",14.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0
2016.0,"市监",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"市监",2175.0,0.0,0.0,1.0,2175.0,0.0,0.0,0.0,0.0,0.0
2018.0,"市监",2607.0,0.0,0.0,1.0,2607.0,0.0,0.0,0.0,0.0,0.0
2019.0,"市监",2659.0,0.0,0.0,1.0,2659.0,0.0,0.0,0.0,0.0,0.0
2016.0,"水务",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"水务",360.0,0.0,0.0,1.0,360.0,0.0,0.0,0.0,0.0,0.0
2018.0,"水务",474.0,0.0,0.0,1.0,474.0,0.0,0.0,0.0,0.0,0.0
