"YEAR","PEO_ENFORCE_QUYU","ENFORCEPEO_JOBCLASS","SUM(*)"
2019.0,"龙岗区","副科级",210.0
2019.0,"龙华区","副科级",88.0
2019.0,"罗湖区","副科级",83.0
2019.0,"南山区","副科级",118.0
2019.0,"坪山区","副科级",84.0
2019.0,"盐田区","副科级",42.0
2016.0,"宝安区","局级",0.0
2016.0,"光明区","局级",0.0
2016.0,"龙岗区","局级",0.0
2016.0,"罗湖区","局级",0.0
2016.0,"南山区","局级",0.0
2016.0,"盐田区","局级",0.0
2017.0,"宝安区","局级",1.0
2017.0,"光明区","局级",0.0
2017.0,"龙岗区","局级",1.0
2017.0,"罗湖区","局级",1.0
2017.0,"南山区","局级",1.0
2017.0,"盐田区","局级",0.0
2018.0,"宝安区","局级",1.0
2018.0,"光明区","局级",2.0
2018.0,"龙岗区","局级",1.0
2018.0,"罗湖区","局级",1.0
2018.0,"南山区","局级",1.0
2018.0,"盐田区","局级",1.0
2019.0,"宝安区","局级",1.0
2019.0,"光明区","局级",2.0
2019.0,"龙岗区","局级",1.0
2019.0,"罗湖区","局级",1.0
2019.0,"南山区","局级",1.0
2019.0,"盐田区","局级",1.0
2016.0,"宝安区","科级",0.0
2016.0,"大鹏新区","科级",0.0
2016.0,"福田区","科级",0.0
2016.0,"光明区","科级",0.0
2016.0,"龙岗区","科级",0.0
2016.0,"龙华区","科级",0.0
2016.0,"罗湖区","科级",0.0
2016.0,"南山区","科级",0.0
2016.0,"坪山区","科级",1.0
2016.0,"盐田区","科级",0.0
2017.0,"宝安区","科级",183.0
2017.0,"大鹏新区","科级",31.0
2017.0,"福田区","科级",115.0
2017.0,"光明区","科级",38.0
2017.0,"龙岗区","科级",252.0
2017.0,"龙华区","科级",82.0
2017.0,"罗湖区","科级",87.0
2017.0,"南山区","科级",109.0
2017.0,"坪山区","科级",71.0
2017.0,"盐田区","科级",54.0
2018.0,"宝安区","科级",201.0
2018.0,"大鹏新区","科级",51.0
2018.0,"福田区","科级",137.0
2018.0,"光明区","科级",75.0
2018.0,"龙岗区","科级",300.0
2018.0,"龙华区","科级",106.0
2018.0,"罗湖区","科级",138.0
2018.0,"南山区","科级",130.0
2018.0,"坪山区","科级",85.0
2018.0,"盐田区","科级",97.0
2019.0,"宝安区","科级",216.0
2019.0,"大鹏新区","科级",54.0
2019.0,"福田区","科级",151.0
2019.0,"光明区","科级",83.0
2019.0,"龙岗区","科级",311.0
2019.0,"龙华区","科级",117.0
2019.0,"罗湖区","科级",156.0
2019.0,"南山区","科级",155.0
2019.0,"坪山区","科级",100.0
2019.0,"盐田区","科级",107.0
2016.0,"宝安区","科员",0.0
2016.0,"大鹏新区","科员",1.0
2016.0,"福田区","科员",0.0
2016.0,"光明区","科员",0.0
2016.0,"龙岗区","科员",0.0
2016.0,"龙华区","科员",0.0
2016.0,"罗湖区","科员",0.0
2016.0,"南山区","科员",0.0
2016.0,"坪山区","科员",0.0
2016.0,"盐田区","科员",0.0
2017.0,"宝安区","科员",220.0
2017.0,"大鹏新区","科员",36.0
2017.0,"福田区","科员",91.0
2017.0,"光明区","科员",86.0
2017.0,"龙岗区","科员",640.0
2017.0,"龙华区","科员",73.0
2017.0,"罗湖区","科员",24.0
2017.0,"南山区","科员",134.0
2017.0,"坪山区","科员",95.0
2017.0,"盐田区","科员",96.0
2018.0,"宝安区","科员",286.0
2018.0,"大鹏新区","科员",72.0
2018.0,"福田区","科员",160.0
2018.0,"光明区","科员",127.0
2018.0,"龙岗区","科员",752.0
2018.0,"龙华区","科员",134.0
2018.0,"罗湖区","科员",84.0
2018.0,"南山区","科员",193.0
2018.0,"坪山区","科员",135.0
2018.0,"盐田区","科员",141.0
2019.0,"宝安区","科员",337.0
2019.0,"大鹏新区","科员",75.0
2019.0,"福田区","科员",168.0
2019.0,"光明区","科员",129.0
2019.0,"龙岗区","科员",776.0
2019.0,"龙华区","科员",144.0
2019.0,"罗湖区","科员",90.0
2019.0,"南山区","科员",219.0
2019.0,"坪山区","科员",175.0
2019.0,"盐田区","科员",157.0
2016.0,"宝安区","其他",0.0
2016.0,"大鹏新区","其他",1.0
2016.0,"福田区","其他",0.0
2016.0,"光明区","其他",0.0
