"YEAR","ENFORCEPEO_STAFFTYPE","SUM(*)"
2016.0,"安全员",0.0
2017.0,"安全员",482.0
2018.0,"安全员",991.0
2019.0,"安全员",1042.0
2016.0,"公务员",47.0
2017.0,"公务员",5306.0
2018.0,"公务员",7003.0
2019.0,"公务员",7736.0
2016.0,"聘任制公务员",0.0
2017.0,"聘任制公务员",18.0
2018.0,"聘任制公务员",21.0
2019.0,"聘任制公务员",21.0
2016.0,"其他",4.0
2017.0,"其他",329.0
2018.0,"其他",484.0
2019.0,"其他",521.0
2016.0,"事业编制工作人员",20.0
2017.0,"事业编制工作人员",1480.0
2018.0,"事业编制工作人员",1918.0
2019.0,"事业编制工作人员",2190.0
