"YEAR","PEO_ENFORCE_QUYU","ENFORCEPEO_POLITIC","SUM(*)"
2018.0,"大鹏新区","中共党员",209.0
2018.0,"福田区","中共党员",652.0
2018.0,"光明区","中共党员",253.0
2018.0,"龙岗区","中共党员",1176.0
2018.0,"龙华区","中共党员",438.0
2018.0,"罗湖区","中共党员",584.0
2018.0,"南山区","中共党员",644.0
2018.0,"坪山区","中共党员",383.0
2018.0,"盐田区","中共党员",269.0
2019.0,"宝安区","中共党员",973.0
2019.0,"大鹏新区","中共党员",216.0
2019.0,"福田区","中共党员",684.0
2019.0,"光明区","中共党员",270.0
2019.0,"龙岗区","中共党员",1229.0
2019.0,"龙华区","中共党员",468.0
2019.0,"罗湖区","中共党员",633.0
2019.0,"南山区","中共党员",723.0
2019.0,"坪山区","中共党员",466.0
2019.0,"盐田区","中共党员",298.0
