"YEAR","PEO_ENFORCE_HANGYE","PEO_ENFORCE_QUYU","ENFORCEPEO_STAFFTYPE","SUM(*)"
2016.0,"审计","坪山区","公务员",0.0
2016.0,"审计","盐田区","公务员",0.0
2016.0,"生态","宝安区","公务员",0.0
2016.0,"生态","大鹏新区","公务员",0.0
2016.0,"生态","福田区","公务员",0.0
2016.0,"生态","光明区","公务员",0.0
2016.0,"生态","龙岗区","公务员",0.0
2016.0,"生态","龙华区","公务员",0.0
2016.0,"生态","罗湖区","公务员",0.0
2016.0,"生态","南山区","公务员",0.0
2016.0,"生态","坪山区","公务员",0.0
2016.0,"生态","盐田区","公务员",0.0
2016.0,"事单","宝安区","公务员",0.0
2016.0,"事单","大鹏新区","公务员",0.0
2016.0,"事单","龙岗区","公务员",0.0
2016.0,"事单","龙华区","公务员",0.0
2016.0,"事单","罗湖区","公务员",0.0
2016.0,"市监","宝安区","公务员",0.0
2016.0,"市监","大鹏新区","公务员",0.0
2016.0,"市监","福田区","公务员",0.0
2016.0,"市监","光明区","公务员",0.0
2016.0,"市监","龙岗区","公务员",0.0
2016.0,"市监","龙华区","公务员",0.0
2016.0,"市监","罗湖区","公务员",0.0
2016.0,"市监","南山区","公务员",0.0
2016.0,"市监","坪山区","公务员",0.0
2016.0,"市监","盐田区","公务员",0.0
2016.0,"水务","宝安区","公务员",0.0
2016.0,"水务","大鹏新区","公务员",0.0
2016.0,"水务","福田区","公务员",0.0
2016.0,"水务","光明区","公务员",0.0
2016.0,"水务","龙岗区","公务员",0.0
2016.0,"水务","龙华区","公务员",0.0
2016.0,"水务","罗湖区","公务员",0.0
2016.0,"水务","南山区","公务员",0.0
2016.0,"水务","坪山区","公务员",0.0
2016.0,"水务","盐田区","公务员",0.0
2016.0,"司法","宝安区","公务员",0.0
2016.0,"司法","大鹏新区","公务员",0.0
2016.0,"司法","福田区","公务员",0.0
2016.0,"司法","龙岗区","公务员",0.0
2016.0,"司法","龙华区","公务员",0.0
2016.0,"司法","罗湖区","公务员",0.0
2016.0,"司法","南山区","公务员",0.0
2016.0,"司法","坪山区","公务员",0.0
2016.0,"司法","盐田区","公务员",0.0
2016.0,"统计","宝安区","公务员",0.0
2016.0,"统计","福田区","公务员",0.0
2016.0,"统计","龙岗区","公务员",0.0
2016.0,"统计","龙华区","公务员",0.0
2016.0,"统计","罗湖区","公务员",0.0
2016.0,"统计","南山区","公务员",0.0
2016.0,"统计","坪山区","公务员",0.0
2016.0,"统计","盐田区","公务员",0.0
2016.0,"退役","罗湖区","公务员",0.0
2016.0,"卫生","宝安区","公务员",0.0
2016.0,"卫生","大鹏新区","公务员",0.0
2016.0,"卫生","福田区","公务员",0.0
2016.0,"卫生","龙岗区","公务员",0.0
2016.0,"卫生","龙华区","公务员",0.0
2016.0,"卫生","罗湖区","公务员",0.0
2016.0,"卫生","南山区","公务员",0.0
2016.0,"卫生","坪山区","公务员",0.0
2016.0,"卫生","盐田区","公务员",0.0
2016.0,"文体","宝安区","公务员",0.0
2016.0,"文体","大鹏新区","公务员",0.0
2016.0,"文体","福田区","公务员",0.0
2016.0,"文体","光明区","公务员",0.0
2016.0,"文体","龙岗区","公务员",0.0
2016.0,"文体","龙华区","公务员",0.0
2016.0,"文体","罗湖区","公务员",0.0
2016.0,"文体","南山区","公务员",0.0
2016.0,"文体","坪山区","公务员",0.0
2016.0,"烟草","大鹏新区","公务员",0.0
2016.0,"医疗","宝安区","公务员",0.0
2016.0,"医疗","大鹏新区","公务员",0.0
2016.0,"医疗","福田区","公务员",0.0
2016.0,"医疗","光明区","公务员",0.0
2016.0,"医疗","龙岗区","公务员",0.0
2016.0,"医疗","龙华区","公务员",0.0
2016.0,"医疗","罗湖区","公务员",0.0
2016.0,"医疗","南山区","公务员",0.0
2016.0,"医疗","坪山区","公务员",0.0
2016.0,"医疗","盐田区","公务员",0.0
2016.0,"应急","宝安区","公务员",0.0
2016.0,"应急","大鹏新区","公务员",0.0
2016.0,"应急","福田区","公务员",0.0
2016.0,"应急","光明区","公务员",0.0
2016.0,"应急","龙岗区","公务员",0.0
2016.0,"应急","龙华区","公务员",0.0
2016.0,"应急","罗湖区","公务员",0.0
2016.0,"应急","南山区","公务员",0.0
2016.0,"应急","坪山区","公务员",0.0
2016.0,"应急","盐田区","公务员",0.0
2016.0,"住建","宝安区","公务员",0.0
2016.0,"住建","大鹏新区","公务员",0.0
2016.0,"住建","福田区","公务员",0.0
2016.0,"住建","光明区","公务员",0.0
2016.0,"住建","龙岗区","公务员",0.0
2016.0,"住建","龙华区","公务员",0.0
2016.0,"住建","罗湖区","公务员",0.0
2016.0,"住建","南山区","公务员",0.0
2016.0,"住建","坪山区","公务员",0.0
2016.0,"住建","盐田区","公务员",0.0
2017.0,"保密","龙岗区","公务员",0.0
2017.0,"保密","龙华区","公务员",0.0
2017.0,"保密","坪山区","公务员",1.0
2017.0,"财政","宝安区","公务员",8.0
2017.0,"财政","大鹏新区","公务员",0.0
2017.0,"财政","福田区","公务员",2.0
2017.0,"财政","光明区","公务员",0.0
2017.0,"财政","龙岗区","公务员",9.0
2017.0,"财政","龙华区","公务员",5.0
2017.0,"财政","罗湖区","公务员",17.0
2017.0,"财政","南山区","公务员",9.0
2017.0,"财政","坪山区","公务员",1.0
2017.0,"财政","盐田区","公务员",0.0
2017.0,"城管","宝安区","公务员",27.0
2017.0,"城管","大鹏新区","公务员",7.0
2017.0,"城管","福田区","公务员",0.0
2017.0,"城管","光明区","公务员",5.0
2017.0,"城管","龙岗区","公务员",95.0
2017.0,"城管","龙华区","公务员",4.0
2017.0,"城管","罗湖区","公务员",20.0
2017.0,"城管","南山区","公务员",120.0
2017.0,"城管","坪山区","公务员",31.0
2017.0,"城管","盐田区","公务员",0.0
2017.0,"档案","龙岗区","公务员",1.0
2017.0,"档案","罗湖区","公务员",0.0
2017.0,"档案","盐田区","公务员",0.0
2017.0,"发改","大鹏新区","公务员",0.0
2017.0,"发改","光明区","公务员",3.0
2017.0,"工信","宝安区","公务员",6.0
2017.0,"工信","龙华区","公务员",4.0
2017.0,"规自","宝安区","公务员",94.0
2017.0,"规自","大鹏新区","公务员",19.0
2017.0,"规自","福田区","公务员",61.0
2017.0,"规自","光明区","公务员",45.0
2017.0,"规自","龙岗区","公务员",40.0
2017.0,"规自","龙华区","公务员",58.0
2017.0,"规自","罗湖区","公务员",22.0
2017.0,"规自","南山区","公务员",53.0
2017.0,"规自","坪山区","公务员",45.0
