"YEAR","ENFORCEPEO_SEX","SUM(*)"
2016.0,"男",58.0
2017.0,"男",5334.0
2018.0,"男",7392.0
2019.0,"男",8153.0
2016.0,"女",15.0
2017.0,"女",2289.0
2018.0,"女",3044.0
2019.0,"女",3381.0
