"YEAR","PEO_ENFORCE_HANGYE","PEO_ENFORCE_QUYU","ENFORCEPEO_SEX","SUM(*)"
2016.0,"文体","坪山区","男",0.0
2016.0,"烟草","大鹏新区","男",0.0
2016.0,"医疗","宝安区","男",0.0
2016.0,"医疗","大鹏新区","男",0.0
2016.0,"医疗","福田区","男",0.0
2016.0,"医疗","光明区","男",0.0
2016.0,"医疗","龙岗区","男",0.0
2016.0,"医疗","龙华区","男",0.0
2016.0,"医疗","罗湖区","男",0.0
2016.0,"医疗","南山区","男",0.0
2016.0,"医疗","坪山区","男",0.0
2016.0,"医疗","盐田区","男",0.0
2016.0,"应急","宝安区","男",0.0
2016.0,"应急","大鹏新区","男",0.0
2016.0,"应急","福田区","男",0.0
2016.0,"应急","光明区","男",0.0
2016.0,"应急","龙岗区","男",0.0
2016.0,"应急","龙华区","男",0.0
2016.0,"应急","罗湖区","男",0.0
2016.0,"应急","南山区","男",0.0
2016.0,"应急","坪山区","男",0.0
2016.0,"应急","盐田区","男",0.0
2016.0,"住建","宝安区","男",0.0
2016.0,"住建","大鹏新区","男",0.0
2016.0,"住建","福田区","男",0.0
2016.0,"住建","光明区","男",0.0
2016.0,"住建","龙岗区","男",0.0
2016.0,"住建","龙华区","男",0.0
2016.0,"住建","罗湖区","男",0.0
2016.0,"住建","南山区","男",0.0
2016.0,"住建","坪山区","男",0.0
2016.0,"住建","盐田区","男",0.0
2017.0,"保密","光明区","男",1.0
2017.0,"保密","龙岗区","男",0.0
2017.0,"保密","龙华区","男",0.0
2017.0,"保密","坪山区","男",2.0
2017.0,"财政","宝安区","男",7.0
2017.0,"财政","大鹏新区","男",0.0
2017.0,"财政","福田区","男",0.0
2017.0,"财政","光明区","男",2.0
2017.0,"财政","龙岗区","男",4.0
2017.0,"财政","龙华区","男",3.0
2017.0,"财政","罗湖区","男",8.0
2017.0,"财政","南山区","男",5.0
2017.0,"财政","坪山区","男",2.0
2017.0,"财政","盐田区","男",0.0
2017.0,"城管","宝安区","男",22.0
2017.0,"城管","大鹏新区","男",10.0
2017.0,"城管","福田区","男",0.0
2017.0,"城管","光明区","男",3.0
2017.0,"城管","龙岗区","男",97.0
2017.0,"城管","龙华区","男",4.0
2017.0,"城管","罗湖区","男",13.0
2017.0,"城管","南山区","男",125.0
2017.0,"城管","坪山区","男",50.0
2017.0,"城管","盐田区","男",0.0
2017.0,"档案","罗湖区","男",0.0
2017.0,"档案","盐田区","男",0.0
2017.0,"发改","大鹏新区","男",0.0
2017.0,"发改","光明区","男",2.0
2017.0,"工信","宝安区","男",2.0
2017.0,"工信","龙华区","男",4.0
2017.0,"工信","南山区","男",4.0
2017.0,"规自","宝安区","男",69.0
2017.0,"规自","大鹏新区","男",14.0
2017.0,"规自","福田区","男",53.0
2017.0,"规自","光明区","男",27.0
2017.0,"规自","龙岗区","男",29.0
2017.0,"规自","龙华区","男",45.0
2017.0,"规自","罗湖区","男",15.0
2017.0,"规自","南山区","男",42.0
2017.0,"规自","坪山区","男",40.0
2017.0,"规自","盐田区","男",13.0
2017.0,"教育","宝安区","男",2.0
2017.0,"教育","福田区","男",12.0
2017.0,"教育","光明区","男",2.0
2017.0,"教育","龙岗区","男",32.0
2017.0,"教育","龙华区","男",1.0
2017.0,"教育","罗湖区","男",4.0
2017.0,"教育","南山区","男",1.0
2017.0,"教育","坪山区","男",3.0
2017.0,"民政","宝安区","男",4.0
2017.0,"民政","福田区","男",1.0
2017.0,"民政","光明区","男",2.0
2017.0,"民政","龙岗区","男",0.0
2017.0,"民政","龙华区","男",8.0
2017.0,"民政","罗湖区","男",0.0
2017.0,"民政","南山区","男",2.0
2017.0,"民政","坪山区","男",3.0
2017.0,"民政","盐田区","男",1.0
2017.0,"民宗","宝安区","男",0.0
2017.0,"民宗","福田区","男",1.0
2017.0,"民宗","光明区","男",1.0
2017.0,"民宗","龙岗区","男",1.0
2017.0,"民宗","龙华区","男",2.0
2017.0,"民宗","罗湖区","男",0.0
2017.0,"民宗","南山区","男",0.0
2017.0,"民宗","坪山区","男",1.0
2017.0,"民宗","盐田区","男",2.0
2017.0,"人社","宝安区","男",40.0
2017.0,"人社","大鹏新区","男",4.0
2017.0,"人社","福田区","男",28.0
2017.0,"人社","光明区","男",11.0
2017.0,"人社","龙岗区","男",53.0
2017.0,"人社","龙华区","男",23.0
2017.0,"人社","罗湖区","男",7.0
2017.0,"人社","南山区","男",10.0
2017.0,"人社","坪山区","男",20.0
2017.0,"人社","盐田区","男",13.0
2017.0,"审计","宝安区","男",6.0
2017.0,"审计","福田区","男",11.0
2017.0,"审计","光明区","男",3.0
2017.0,"审计","龙岗区","男",26.0
2017.0,"审计","龙华区","男",2.0
2017.0,"审计","罗湖区","男",8.0
2017.0,"审计","南山区","男",5.0
2017.0,"审计","坪山区","男",7.0
2017.0,"审计","盐田区","男",5.0
2017.0,"生态","宝安区","男",34.0
2017.0,"生态","大鹏新区","男",6.0
2017.0,"生态","福田区","男",7.0
2017.0,"生态","光明区","男",5.0
2017.0,"生态","龙岗区","男",58.0
2017.0,"生态","龙华区","男",12.0
2017.0,"生态","罗湖区","男",12.0
2017.0,"生态","南山区","男",17.0
2017.0,"生态","坪山区","男",4.0
2017.0,"生态","盐田区","男",3.0
2017.0,"事单","龙岗区","男",0.0
2017.0,"事单","龙华区","男",1.0
2017.0,"事单","罗湖区","男",0.0
2017.0,"市监","宝安区","男",212.0
2017.0,"市监","大鹏新区","男",61.0
2017.0,"市监","福田区","男",163.0
2017.0,"市监","光明区","男",13.0
2017.0,"市监","龙岗区","男",223.0
2017.0,"市监","龙华区","男",115.0
2017.0,"市监","罗湖区","男",168.0
